seed,method,episode,total_mse
42,random,10,11.91345090791583
42,random,20,20.882889233529568
42,random,30,33.8512541949749
42,random,40,23.339134484529495
42,random,50,13.127001233398914
42,random,60,26.1830062456429
42,random,70,16.51960115507245
42,random,80,30.481594242155552
42,random,90,28.804158098995686
42,random,100,16.566653609275818
42,random,110,20.315957512706518
42,random,120,14.88605484366417
42,random,130,27.59352158010006
42,random,140,19.280090000480413
42,random,150,24.090206004679203
42,random,160,19.819112181663513
42,random,170,26.29455903172493
42,random,180,26.317474603652954
42,random,190,17.041297376155853
42,random,200,25.270784303545952
42,random,210,29.716460775583982
42,random,220,39.66218355298042
42,random,230,16.533809550106525
42,random,240,112.94781355559826
42,random,250,11.68495561927557
42,random,260,21.85875841230154
42,random,270,17.598638840019703
42,random,280,37.10777447745204
42,random,290,13.651921354234219
42,random,300,12.952683109790087
123,random,10,12.819339137524366
123,random,20,29.200292579829693
123,random,30,11.340009205043316
123,random,40,15.905022777616978
123,random,50,50.92534902319312
123,random,60,28.28856187686324
123,random,70,33.985390584915876
123,random,80,13.86018793657422
123,random,90,14.439234867691994
123,random,100,21.338886260986328
123,random,110,11.726412028074265
123,random,120,21.502715408802032
123,random,130,14.596077490597963
123,random,140,12.024524696171284
123,random,150,31.930922612547874
123,random,160,24.988948475569487
123,random,170,58.18005249649286
123,random,180,30.92889190837741
123,random,190,13.147267766296864
123,random,200,43.58444945514202
123,random,210,36.02129749208689
123,random,220,17.777500420808792
123,random,230,49.39053366705775
123,random,240,20.29771438986063
123,random,250,15.67988334596157
123,random,260,27.712236642837524
123,random,270,27.497930768877268
123,random,280,13.943729244172573
123,random,290,53.501407116651535
123,random,300,11.68763092905283
456,random,10,15.160304643213749
456,random,20,15.121739704161882
456,random,30,23.57975310087204
456,random,40,26.080817967653275
456,random,50,19.895116727799177
456,random,60,34.30932182073593
456,random,70,27.309127144515514
456,random,80,34.55249896645546
456,random,90,33.41540991142392
456,random,100,58.63268185779452
456,random,110,14.266613215208054
456,random,120,10.754307426512241
456,random,130,10.944189358502626
456,random,140,23.112172096967697
456,random,150,44.877709329128265
456,random,160,18.74043995887041
456,random,170,24.348306097090244
456,random,180,22.91517387703061
456,random,190,12.686670154333115
456,random,200,30.03576050698757
456,random,210,13.820255361497402
456,random,220,13.250914253294468
456,random,230,10.938720386475325
456,random,240,13.734386246651411
456,random,250,19.708964712917805
456,random,260,19.662547763437033
456,random,270,12.953133307397366
456,random,280,12.753883924335241
456,random,290,12.487963445484638
456,random,300,12.679772432893515
789,random,10,15.069663166999817
789,random,20,20.568028062582016
789,random,30,25.924792919307947
789,random,40,16.261446814984083
789,random,50,17.57037938386202
789,random,60,13.282734967768192
789,random,70,10.796251099556684
789,random,80,20.152523882687092
789,random,90,14.856530342251062
789,random,100,55.47287321835756
789,random,110,36.822108671069145
789,random,120,56.71389349550009
789,random,130,14.360596552491188
789,random,140,24.097428400069475
789,random,150,12.141720332205296
789,random,160,12.14351698756218
789,random,170,35.68219205737114
789,random,180,11.321118634194136
789,random,190,26.127584129571915
789,random,200,23.057920176535845
789,random,210,12.673364635556936
789,random,220,12.603448152542114
789,random,230,12.749807827174664
789,random,240,41.86098409444094
789,random,250,16.76301270723343
789,random,260,13.519124947488308
789,random,270,44.600029438734055
789,random,280,37.03467109426856
789,random,290,17.47491317242384
789,random,300,11.915730934590101
1011,random,10,19.542860448360443
1011,random,20,33.092544209212065
1011,random,30,32.185641780495644
1011,random,40,29.942143496125937
1011,random,50,21.7401871830225
1011,random,60,20.24287475273013
1011,random,70,26.73385652899742
1011,random,80,26.700136072933674
1011,random,90,14.92554971203208
1011,random,100,11.672286223620176
1011,random,110,21.24284191802144
1011,random,120,32.8301025480032
1011,random,130,16.555871933698654
1011,random,140,14.321035273373127
1011,random,150,12.182076767086983
1011,random,160,59.64915804564953
1011,random,170,12.112588629126549
1011,random,180,25.074241790920496
1011,random,190,24.19284911453724
1011,random,200,33.911122366786
1011,random,210,21.859642639756203
1011,random,220,12.994200892746449
1011,random,230,35.13800670579076
1011,random,240,12.8137212023139
1011,random,250,11.342792250216007
1011,random,260,16.637827917933464
1011,random,270,14.45331659913063
1011,random,280,53.85643466189504
1011,random,290,12.37879303842783
1011,random,300,27.4474980160594
42,round_robin,10,37.78682813793421
42,round_robin,20,49.23429969698191
42,round_robin,30,13.183535240590572
42,round_robin,40,12.021296821534634
42,round_robin,50,15.259485319256783
42,round_robin,60,12.459259804338217
42,round_robin,70,22.349468372762203
42,round_robin,80,20.766884114593267
42,round_robin,90,30.881245963275433
42,round_robin,100,41.1115248054266
42,round_robin,110,40.52812898159027
42,round_robin,120,22.84486236050725
42,round_robin,130,30.987060718238354
42,round_robin,140,27.868244618177414
42,round_robin,150,14.105392660945654
42,round_robin,160,22.764238819479942
42,round_robin,170,29.160307954996824
42,round_robin,180,13.061198323965073
42,round_robin,190,12.180369965732098
42,round_robin,200,26.14486350864172
42,round_robin,210,35.170463260263205
42,round_robin,220,17.224944680929184
42,round_robin,230,45.20872297883034
42,round_robin,240,14.562232922762632
42,round_robin,250,17.40768053755164
42,round_robin,260,38.732262048870325
42,round_robin,270,37.85825664550066
42,round_robin,280,15.30016366392374
42,round_robin,290,19.496288992464542
42,round_robin,300,27.40079964697361
123,round_robin,10,42.50904385000467
123,round_robin,20,11.06667298451066
123,round_robin,30,19.31525583565235
123,round_robin,40,10.728752583265305
123,round_robin,50,31.374799847602844
123,round_robin,60,14.60469464957714
123,round_robin,70,14.947279442101717
123,round_robin,80,47.552900925278664
123,round_robin,90,14.043694380670786
123,round_robin,100,11.07970068603754
123,round_robin,110,14.506770685315132
123,round_robin,120,20.844471879303455
123,round_robin,130,15.952427323907614
123,round_robin,140,31.576527308672667
123,round_robin,150,20.351321522146463
123,round_robin,160,14.275862619280815
123,round_robin,170,19.660366378724575
123,round_robin,180,14.439796816557646
123,round_robin,190,16.890504755079746
123,round_robin,200,13.085630033165216
123,round_robin,210,14.88403321057558
123,round_robin,220,13.338828213512897
123,round_robin,230,15.667311187833548
123,round_robin,240,13.35300538688898
123,round_robin,250,39.60758809000254
123,round_robin,260,24.681341521441936
123,round_robin,270,16.658762142062187
123,round_robin,280,12.34473729878664
123,round_robin,290,48.356315426528454
123,round_robin,300,27.11301250010729
456,round_robin,10,15.871644761413336
456,round_robin,20,21.73887650296092
456,round_robin,30,34.91536255553365
456,round_robin,40,32.818374652415514
456,round_robin,50,28.352643206715584
456,round_robin,60,21.918053075671196
456,round_robin,70,18.885509084910154
456,round_robin,80,13.4317836612463
456,round_robin,90,17.488074991852045
456,round_robin,100,21.92064316943288
456,round_robin,110,21.068410087376833
456,round_robin,120,15.762458246201277
456,round_robin,130,44.238104574382305
456,round_robin,140,37.109632693231106
456,round_robin,150,11.103507813066244
456,round_robin,160,23.15744971483946
456,round_robin,170,13.837757162749767
456,round_robin,180,12.839705035090446
456,round_robin,190,35.40891792625189
456,round_robin,200,17.38035972043872
456,round_robin,210,11.872485492378473
456,round_robin,220,28.1034146361053
456,round_robin,230,30.98197592049837
456,round_robin,240,10.430639546364546
456,round_robin,250,30.80309011414647
456,round_robin,260,41.89025064557791
456,round_robin,270,12.375048816204071
456,round_robin,280,11.992053851485252
456,round_robin,290,9.850513335317373
456,round_robin,300,26.131520364433527
789,round_robin,10,17.618244752287865
789,round_robin,20,12.480322044342756
789,round_robin,30,19.62120546028018
789,round_robin,40,21.749689526855946
789,round_robin,50,36.15712919458747
789,round_robin,60,15.543054696172476
789,round_robin,70,90.39078656584024
789,round_robin,80,18.84999193251133
789,round_robin,90,11.664340663701296
789,round_robin,100,51.37056887894869
789,round_robin,110,25.76877610385418
789,round_robin,120,25.055554997175932
789,round_robin,130,13.919342514127493
789,round_robin,140,11.356281051412225
789,round_robin,150,26.620768889784813
789,round_robin,160,11.019275579601526
789,round_robin,170,31.80059327185154
789,round_robin,180,13.07628870755434
789,round_robin,190,14.3278455324471
789,round_robin,200,33.7869223728776
789,round_robin,210,12.675791889429092
789,round_robin,220,33.007235154509544
789,round_robin,230,37.22494941577315
789,round_robin,240,18.688766103237867
789,round_robin,250,66.32417114824057
789,round_robin,260,18.90751887112856
789,round_robin,270,24.688646711409092
789,round_robin,280,14.74785503745079
789,round_robin,290,14.077033769339323
789,round_robin,300,12.867694035172462
1011,round_robin,10,16.0437804274261
1011,round_robin,20,35.54854932427406
1011,round_robin,30,26.258142087608576
1011,round_robin,40,10.258056234568357
1011,round_robin,50,47.74703648686409
1011,round_robin,60,12.277593206614256
1011,round_robin,70,23.72300448641181
1011,round_robin,80,10.623417850583792
1011,round_robin,90,31.603458121418953
1011,round_robin,100,35.048390079289675
1011,round_robin,110,56.483983404934406
1011,round_robin,120,24.998678371310234
1011,round_robin,130,27.308419656008482
1011,round_robin,140,11.162897571921349
1011,round_robin,150,32.71764452382922
1011,round_robin,160,22.786850683391094
1011,round_robin,170,20.661906130611897
1011,round_robin,180,12.026614286005497
1011,round_robin,190,32.5422950014472
1011,round_robin,200,12.019893895834684
1011,round_robin,210,34.80366598814726
1011,round_robin,220,34.28596303239465
1011,round_robin,230,26.15483335033059
1011,round_robin,240,13.737968225032091
1011,round_robin,250,15.080691128969193
1011,round_robin,260,55.09967827796936
1011,round_robin,270,25.78785328567028
1011,round_robin,280,30.947799254208803
1011,round_robin,290,41.634393852204084
1011,round_robin,300,15.31590647995472
42,max_variance,10,46.64277557656169
42,max_variance,20,51.319561421871185
42,max_variance,30,15.084421530365944
42,max_variance,40,11.997794806957245
42,max_variance,50,16.010248973965645
42,max_variance,60,13.773699145764112
42,max_variance,70,19.378136355429888
42,max_variance,80,30.063765063881874
42,max_variance,90,92.96899652481079
42,max_variance,100,45.35557742416859
42,max_variance,110,52.39696456119418
42,max_variance,120,33.644392013549805
42,max_variance,130,30.205569051206112
42,max_variance,140,43.307928431779146
42,max_variance,150,18.136080276221037
42,max_variance,160,21.378463942557573
42,max_variance,170,33.2411130592227
42,max_variance,180,11.568611826747656
42,max_variance,190,11.12983313947916
42,max_variance,200,41.0672393143177
42,max_variance,210,53.154584139585495
42,max_variance,220,18.38805117458105
42,max_variance,230,96.94909240305424
42,max_variance,240,18.19918090850115
42,max_variance,250,17.20359655097127
42,max_variance,260,95.72117368131876
42,max_variance,270,46.73528955131769
42,max_variance,280,15.5390944480896
42,max_variance,290,20.14483282715082
42,max_variance,300,43.93925599753857
123,max_variance,10,51.348317846655846
123,max_variance,20,13.181864831596613
123,max_variance,30,28.49230781197548
123,max_variance,40,12.357014551758766
123,max_variance,50,42.17604353278875
123,max_variance,60,17.05372577533126
123,max_variance,70,16.18926541879773
123,max_variance,80,43.3970742598176
123,max_variance,90,20.214184947311878
123,max_variance,100,12.644590128213167
123,max_variance,110,15.785722140222788
123,max_variance,120,37.94072488695383
123,max_variance,130,21.33261339366436
123,max_variance,140,57.97386120259762
123,max_variance,150,25.62014762684703
123,max_variance,160,13.10819112509489
123,max_variance,170,24.33355314657092
123,max_variance,180,13.922497607767582
123,max_variance,190,18.26444448530674
123,max_variance,200,14.647513471543789
123,max_variance,210,23.97248735651374
123,max_variance,220,14.117634236812592
123,max_variance,230,18.814736898988485
123,max_variance,240,13.645156413316727
123,max_variance,250,74.12144781649113
123,max_variance,260,31.256926402449608
123,max_variance,270,26.54537582397461
123,max_variance,280,12.027904219925404
123,max_variance,290,58.285659085959196
123,max_variance,300,32.98175372928381
456,max_variance,10,16.00684253871441
456,max_variance,20,17.884533133357763
456,max_variance,30,35.663751006126404
456,max_variance,40,35.03151097148657
456,max_variance,50,76.52729213237762
456,max_variance,60,37.39265564829111
456,max_variance,70,16.31327697634697
456,max_variance,80,13.226188082247972
456,max_variance,90,22.058988600969315
456,max_variance,100,22.277985215187073
456,max_variance,110,18.757110126316547
456,max_variance,120,16.050790332257748
456,max_variance,130,65.66951287910342
456,max_variance,140,52.925930544734
456,max_variance,150,9.434370443224907
456,max_variance,160,19.70978305861354
456,max_variance,170,15.596404500305653
456,max_variance,180,13.894772678613663
456,max_variance,190,27.884810373187065
456,max_variance,200,15.446039386093616
456,max_variance,210,11.924440871924162
456,max_variance,220,22.38229639455676
456,max_variance,230,24.794581688940525
456,max_variance,240,12.640533618628979
456,max_variance,250,27.659185826778412
456,max_variance,260,49.194095112383366
456,max_variance,270,9.861181296408176
456,max_variance,280,11.517855368554592
456,max_variance,290,12.264150973409414
456,max_variance,300,63.094706043601036
789,max_variance,10,15.547539975494146
789,max_variance,20,17.099564112722874
789,max_variance,30,29.34913992881775
789,max_variance,40,13.676186840981245
789,max_variance,50,43.92981266230345
789,max_variance,60,16.70360381528735
789,max_variance,70,44.8352816849947
789,max_variance,80,22.168525867164135
789,max_variance,90,9.882941748946905
789,max_variance,100,24.195163644850254
789,max_variance,110,23.666646011173725
789,max_variance,120,25.754701919853687
789,max_variance,130,12.674496080726385
789,max_variance,140,15.47303818911314
789,max_variance,150,67.46237953007221
789,max_variance,160,10.712757274508476
789,max_variance,170,45.739062793552876
789,max_variance,180,16.396449632942677
789,max_variance,190,10.944651760160923
789,max_variance,200,58.3315160125494
789,max_variance,210,11.915247574448586
789,max_variance,220,19.09116803109646
789,max_variance,230,78.20158139616251
789,max_variance,240,20.661037135869265
789,max_variance,250,51.71508705988526
789,max_variance,260,20.631337467581034
789,max_variance,270,28.130036905407906
789,max_variance,280,12.031476851552725
789,max_variance,290,11.48506247997284
789,max_variance,300,15.003485761582851
1011,max_variance,10,20.412152834236622
1011,max_variance,20,62.95403227210045
1011,max_variance,30,41.52752820402384
1011,max_variance,40,10.661201763898134
1011,max_variance,50,42.10484803467989
1011,max_variance,60,11.336413331329823
1011,max_variance,70,25.69616850838065
1011,max_variance,80,9.640594087541103
1011,max_variance,90,34.497635409235954
1011,max_variance,100,44.040759798139334
1011,max_variance,110,34.95129546895623
1011,max_variance,120,24.395203575491905
1011,max_variance,130,33.88501738011837
1011,max_variance,140,12.076075177639723
1011,max_variance,150,73.69038560986519
1011,max_variance,160,37.39669718593359
1011,max_variance,170,24.301842659711838
1011,max_variance,180,11.577635452151299
1011,max_variance,190,57.371702417731285
1011,max_variance,200,11.738861244171858
1011,max_variance,210,34.13656692951918
1011,max_variance,220,30.005673605948687
1011,max_variance,230,23.443985626101494
1011,max_variance,240,17.27063501626253
1011,max_variance,250,14.68149108812213
1011,max_variance,260,35.66021712496877
1011,max_variance,270,23.09034052491188
1011,max_variance,280,27.273057531565428
1011,max_variance,290,27.27079240977764
1011,max_variance,300,18.331212658435106
