loss,preference_margin,ref_margin,kl_from_ref,sigmoid_input,winner_target,loser_target
0.69140625,-1.0,-1.0,0.0,0.0,X1,X2
0.796875,-6.0,-4.0,-1.0,-2.0,X1,X2
0.69140625,0.0,0.0,2.0,0.0,X2,X2
0.69140625,0.0,0.0,-2.0,0.0,X2,X2
0.69140625,0.0,0.0,-4.0,0.0,X2,X2
0.69140625,0.0,0.0,-4.0,0.0,X2,X2
0.4375,0.0,-6.0,15.0,6.0,X2,X2
0.69140625,0.0,0.0,-8.0,0.0,X2,X2
2.3125,-16.0,6.0,-29.0,-22.0,X2,X1
0.69140625,0.0,0.0,-28.0,0.0,X2,X2
0.18359375,10.0,-6.0,-26.0,16.0,X1,X2
0.4375,4.0,-2.0,-33.0,6.0,X1,X2
0.69140625,0.0,0.0,-42.0,0.0,X2,X2
0.1533203125,12.0,-6.0,-43.0,18.0,X1,X2
0.0181884765625,32.0,-8.0,-46.0,40.0,X1,X2
0.00136566162109375,62.0,-4.0,-91.0,66.0,X2,X2
12.8125,-122.0,6.0,-120.0,-128.0,X2,X1
11.375,-108.0,6.0,-125.0,-114.0,X2,X1
0.0005035400390625,70.0,-6.0,-104.0,76.0,X1,X2
0.0020599365234375,56.0,-6.0,-99.0,62.0,X2,X2
8.8125,-82.0,6.0,-112.0,-88.0,X2,X1
0.00075531005859375,66.0,-6.0,-80.0,72.0,X1,X2
0.69140625,0.0,0.0,-134.0,0.0,X2,X2
0.69140625,0.0,0.0,-128.0,0.0,X2,X2
0.0067138671875,44.0,-6.0,-103.0,50.0,X1,X2
0.69140625,0.0,0.0,-150.0,0.0,X2,X2
8.8125,-82.0,6.0,-112.0,-88.0,X2,X1
0.69140625,0.0,0.0,-140.0,0.0,X2,X2
0.0010986328125,62.0,-6.0,-86.0,68.0,X1,X2
0.4375,4.0,-2.0,-101.0,6.0,X2,X2
0.004486083984375,48.0,-6.0,-79.0,54.0,X1,X2
0.69140625,0.0,0.0,-110.0,0.0,X2,X2
2.671875,-20.0,6.0,-105.0,-26.0,X2,X1
0.0010986328125,66.0,-2.0,-82.0,68.0,X1,X2
0.000278472900390625,78.0,-4.0,-63.0,82.0,X2,X2
9.1875,-88.0,4.0,-70.0,-92.0,X2,X1
9.625,-90.0,6.0,-60.0,-96.0,X2,X1
2.859375,-30.0,-2.0,-38.0,-28.0,X1,X1
0.796875,0.0,2.0,-19.0,-2.0,X2,X1
3.25,-26.0,6.0,-2.0,-32.0,X2,X1
0.26171875,10.0,-2.0,30.0,12.0,X1,X1
0.69140625,0.0,0.0,0.0,0.0,X2,X2
0.0181884765625,36.0,-4.0,36.0,40.0,X1,X2
3.046875,-24.0,6.0,39.0,-30.0,X2,X1
3.046875,-26.0,4.0,45.0,-30.0,X2,X2
0.08642578125,22.0,-2.0,48.0,24.0,X2,X2
0.126953125,12.0,-8.0,74.0,20.0,X1,X2
0.18359375,14.0,-2.0,40.0,16.0,X5,X2
1.6171875,-14.0,0.0,49.0,-14.0,X2,X1
0.59765625,2.0,0.0,41.0,2.0,X2,X2
2.859375,-24.0,4.0,28.0,-28.0,X2,X1
0.08642578125,22.0,-2.0,38.0,24.0,X4,X2
0.059326171875,26.0,-2.0,62.0,28.0,X2,X2
0.022216796875,34.0,-4.0,51.0,38.0,X5,X2
0.022216796875,34.0,-4.0,65.0,38.0,X2,X2
3.4375,-30.0,4.0,39.0,-34.0,X2,X1
0.01007080078125,46.0,0.0,55.0,46.0,X2,X2
0.005584716796875,46.0,-6.0,56.0,52.0,X1,X2
0.01007080078125,42.0,-4.0,9.0,46.0,X5,X2
0.0020599365234375,56.0,-6.0,-9.0,62.0,X4,X2
4.8125,-48.0,0.0,-22.0,-48.0,X2,X1
0.000278472900390625,78.0,-4.0,-21.0,82.0,X3,X2
3.7670135498046875e-05,100.0,-2.0,-5.0,102.0,X2,X2
3.7670135498046875e-05,100.0,-2.0,-17.0,102.0,X3,X2
0.000911712646484375,66.0,-4.0,-51.0,70.0,X1,X2
12.0,-116.0,4.0,-32.0,-120.0,X2,X1
11.0,-104.0,6.0,-53.0,-110.0,X2,X1
8.487701416015625e-05,88.0,-6.0,-55.0,94.0,X1,X2
0.0181884765625,40.0,0.0,-16.0,40.0,X2,X2
1.150369644165039e-05,110.0,-4.0,-67.0,114.0,X2,X2
7.59375,-72.0,4.0,-56.0,-76.0,X2,X1
0.00010251998901367188,88.0,-4.0,-4.0,92.0,X2,X2
2.4318695068359375e-05,102.0,-4.0,-9.0,106.0,X2,X2
0.69140625,0.0,0.0,-68.0,0.0,X2,X2
0.00010251998901367188,90.0,-2.0,-22.0,92.0,X2,X2
0.01507568359375,40.0,-2.0,-41.0,42.0,X3,X2
0.000179290771484375,80.0,-6.0,-5.0,86.0,X1,X2
3.7670135498046875e-05,98.0,-4.0,-5.0,102.0,X2,X2
8.487701416015625e-05,90.0,-4.0,-3.0,94.0,X2,X2
2.014636993408203e-05,104.0,-4.0,-26.0,108.0,X2,X2
3.123283386230469e-05,98.0,-6.0,-28.0,104.0,X2,X2
0.000335693359375,74.0,-6.0,-32.0,80.0,X2,X2
7.420778274536133e-06,116.0,-2.0,-25.0,118.0,X2,X2
8.940696716308594e-06,112.0,-4.0,-40.0,116.0,X1,X2
0.1533203125,20.0,2.0,5.0,18.0,X2,X2
3.123283386230469e-05,98.0,-6.0,-62.0,104.0,X1,X2
0.4375,6.0,0.0,-5.0,6.0,X2,X2
8.940696716308594e-06,114.0,-2.0,-42.0,116.0,X2,X2
1.55717134475708e-06,128.0,-6.0,-35.0,134.0,X2,X2
3.7670135498046875e-05,98.0,-4.0,-19.0,102.0,X2,X2
0.000148773193359375,82.0,-6.0,-94.0,88.0,X5,X2
1.6689300537109375e-05,106.0,-4.0,-63.0,110.0,X1,X2
7.420778274536133e-06,114.0,-4.0,-41.0,118.0,X1,X2
1.2069940567016602e-06,132.0,-4.0,-52.0,136.0,X2,X2
1.150369644165039e-05,108.0,-6.0,-93.0,114.0,X2,X2
0.0010986328125,62.0,-6.0,-58.0,68.0,X1,X2
8.940696716308594e-06,112.0,-4.0,-42.0,116.0,X1,X2
10.1875,-96.0,6.0,-43.0,-102.0,X2,X1
10.0,-96.0,4.0,-26.0,-100.0,X2,X1
7.420778274536133e-06,114.0,-4.0,-9.0,118.0,X1,X2
0.51171875,6.0,2.0,22.0,4.0,X3,X2
0.69140625,0.0,0.0,-68.0,0.0,X2,X2
0.002471923828125,56.0,-4.0,-36.0,60.0,X1,X2
6.59375,-62.0,4.0,-25.0,-66.0,X2,X1
1.0390625,-6.0,0.0,-35.0,-6.0,X1,X2
0.00136566162109375,62.0,-4.0,-65.0,66.0,X2,X2
2.4318695068359375e-05,102.0,-4.0,-49.0,106.0,X1,X2
0.126953125,20.0,0.0,-36.0,20.0,X2,X2
5.8125,-54.0,4.0,-17.0,-58.0,X2,X1
0.03271484375,32.0,-2.0,-19.0,34.0,X2,X2
0.0010986328125,62.0,-6.0,-56.0,68.0,X5,X2
0.0020599365234375,60.0,-2.0,-63.0,62.0,X4,X2
0.0037078857421875,54.0,-2.0,-46.0,56.0,X4,X2
0.00075531005859375,68.0,-4.0,-104.0,72.0,X1,X2
0.00040435791015625,74.0,-4.0,-83.0,78.0,X1,X2
3.293156623840332e-06,122.0,-4.0,-77.0,126.0,X2,X2
3.123283386230469e-05,100.0,-4.0,-78.0,104.0,X2,X2
5.0961971282958984e-06,120.0,-2.0,-49.0,122.0,X2,X2
9.1875,-90.0,2.0,-66.0,-92.0,X2,X3
2.014636993408203e-05,104.0,-4.0,-34.0,108.0,X2,X2
1.6689300537109375e-05,106.0,-4.0,-35.0,110.0,X2,X2
0.126953125,18.0,-2.0,-102.0,20.0,X1,X2
0.69140625,0.0,0.0,-106.0,0.0,X2,X2
5.4836273193359375e-05,96.0,-2.0,-109.0,98.0,X4,X2
0.69140625,0.0,0.0,-166.0,0.0,X2,X2
0.00010251998901367188,90.0,-2.0,-122.0,92.0,X5,X2
0.000278472900390625,80.0,-2.0,-109.0,82.0,X4,X2
0.69140625,0.0,0.0,-128.0,0.0,X2,X2
0.69140625,0.0,0.0,-140.0,0.0,X2,X2
2.726912498474121e-06,124.0,-4.0,-96.0,128.0,X1,X2
2.859375,-28.0,0.0,-146.0,-28.0,X2,X2
0.69140625,0.0,0.0,-176.0,0.0,X2,X2
6.139278411865234e-06,118.0,-2.0,-126.0,120.0,X2,X2
4.5299530029296875e-05,94.0,-6.0,-108.0,100.0,X2,X2
1.2069940567016602e-06,130.0,-6.0,-68.0,136.0,X1,X2
1.150369644165039e-05,110.0,-4.0,-83.0,114.0,X2,X2
2.4318695068359375e-05,100.0,-6.0,-83.0,106.0,X2,X2
2.5331974029541016e-07,148.0,-4.0,-62.0,152.0,X1,X2
11.1875,-110.0,2.0,-80.0,-112.0,X2,X1
1.150369644165039e-05,110.0,-4.0,-81.0,114.0,X2,X2
1.6689300537109375e-05,106.0,-4.0,-75.0,110.0,X2,X2
2.726912498474121e-06,124.0,-4.0,-58.0,128.0,X1,X2
0.69140625,0.0,0.0,-142.0,0.0,X2,X2
3.293156623840332e-06,124.0,-2.0,-87.0,126.0,X1,X2
0.00811767578125,46.0,-2.0,-116.0,48.0,X4,X2
1.3828277587890625e-05,110.0,-2.0,-78.0,112.0,X4,X2
0.0037078857421875,56.0,0.0,-124.0,56.0,X4,X2
0.69140625,0.0,0.0,-120.0,0.0,X2,X2
0.00010251998901367188,88.0,-4.0,-92.0,92.0,X2,X2
8.487701416015625e-05,92.0,-2.0,-95.0,94.0,X2,X2
0.00136566162109375,58.0,-8.0,-63.0,66.0,X2,X2
0.00010251998901367188,90.0,-2.0,-110.0,92.0,X4,X2
5.4836273193359375e-05,96.0,-2.0,-89.0,98.0,X4,X2
2.4318695068359375e-05,102.0,-4.0,-89.0,106.0,X4,X2
0.69140625,0.0,0.0,-126.0,0.0,X2,X2
0.000911712646484375,68.0,-2.0,-63.0,70.0,X1,X2
5.0961971282958984e-06,118.0,-4.0,-83.0,122.0,X4,X2
4.4517219066619873e-07,144.0,-2.0,-73.0,146.0,X1,X2
8.940696716308594e-06,114.0,-2.0,-110.0,116.0,X1,X2
16.25,-156.0,6.0,-93.0,-162.0,X2,X1
0.1533203125,18.0,0.0,-77.0,18.0,X2,X2
0.005584716796875,52.0,0.0,-56.0,52.0,X1,X2
7.729977369308472e-08,160.0,-4.0,-124.0,164.0,X4,X2
0.69140625,0.0,0.0,-194.0,0.0,X2,X2
0.69140625,0.0,0.0,-194.0,0.0,X2,X2
2.4318695068359375e-05,104.0,-2.0,-121.0,106.0,X2,X2
2.1047890186309814e-07,148.0,-6.0,-133.0,154.0,X4,X2
1.126900315284729e-07,156.0,-4.0,-140.0,160.0,X4,X2
6.891787052154541e-07,138.0,-4.0,-145.0,142.0,X4,X2
7.729977369308472e-08,160.0,-4.0,-134.0,164.0,X4,X2
0.69140625,0.0,0.0,-220.0,0.0,X2,X2
1.3597309589385986e-07,154.0,-4.0,-149.0,158.0,X4,X2
2.726912498474121e-06,126.0,-2.0,-150.0,128.0,X4,X2
1.55717134475708e-06,130.0,-4.0,-147.0,134.0,X4,X2
0.69140625,0.0,0.0,-236.0,0.0,X2,X2
7.420778274536133e-06,112.0,-6.0,-165.0,118.0,X2,X2
6.139278411865234e-06,118.0,-2.0,-152.0,120.0,X2,X2
1.3828277587890625e-05,110.0,-2.0,-160.0,112.0,X1,X2
15.8125,-154.0,4.0,-115.0,-158.0,X2,X1
0.18359375,16.0,0.0,-178.0,16.0,X2,X2
6.139278411865234e-06,118.0,-2.0,-110.0,120.0,X1,X2
5.699694156646729e-07,140.0,-4.0,-138.0,144.0,X1,X2
1.2069940567016602e-06,132.0,-4.0,-136.0,136.0,X1,X2
1.6689300537109375e-05,104.0,-6.0,-133.0,110.0,X2,X2
1.1874362826347351e-08,178.0,-4.0,-103.0,182.0,X1,X2
1.3828277587890625e-05,108.0,-4.0,-126.0,112.0,X2,X2
2.014636993408203e-05,106.0,-2.0,-134.0,108.0,X2,X2
3.293156623840332e-06,122.0,-4.0,-105.0,126.0,X1,X2
0.03271484375,38.0,4.0,-95.0,34.0,X1,X2
6.0,-58.0,2.0,-46.0,-60.0,X2,X1
0.69140625,0.0,0.0,-144.0,0.0,X2,X2
0.69140625,0.0,0.0,-138.0,0.0,X2,X2
3.293156623840332e-06,122.0,-4.0,-95.0,126.0,X1,X2
7.8125,-74.0,4.0,-111.0,-78.0,X2,X2
4.231929779052734e-06,124.0,0.0,-104.0,124.0,X4,X2
6.139278411865234e-06,118.0,-2.0,-100.0,120.0,X4,X2
4.231929779052734e-06,122.0,-2.0,-96.0,124.0,X4,X2
7.420778274536133e-06,116.0,-2.0,-73.0,118.0,X4,X2
1.150369644165039e-05,112.0,-2.0,-81.0,114.0,X1,X2
1.953125,-18.0,0.0,-127.0,-18.0,X2,X2
3.7670135498046875e-05,100.0,-2.0,-89.0,102.0,X1,X2
0.000148773193359375,86.0,-2.0,-56.0,88.0,X1,X2
10.625,-102.0,4.0,-113.0,-106.0,X2,X4
0.69140625,0.0,0.0,-144.0,0.0,X2,X2
8.1875,-78.0,4.0,-97.0,-82.0,X2,X4
0.059326171875,24.0,-4.0,-66.0,28.0,X2,X2
0.69140625,0.0,0.0,-40.0,0.0,X2,X2
0.072265625,20.0,-6.0,-7.0,26.0,X2,X2
0.01507568359375,40.0,-2.0,19.0,42.0,X2,X2
0.03271484375,32.0,-2.0,3.0,34.0,X1,X2
0.01007080078125,44.0,-2.0,-25.0,46.0,X1,X2
0.0010986328125,62.0,-6.0,-28.0,68.0,X1,X2
0.69140625,0.0,0.0,-88.0,0.0,X2,X2
5.4836273193359375e-05,94.0,-4.0,-71.0,98.0,X2,X2
2.014636993408203e-05,104.0,-4.0,-72.0,108.0,X2,X2
0.01214599609375,42.0,-2.0,-20.0,44.0,X2,X2
0.69140625,0.0,0.0,-132.0,0.0,X2,X2
0.00075531005859375,70.0,-2.0,-94.0,72.0,X4,X2
3.688037395477295e-07,144.0,-4.0,-66.0,148.0,X1,X2
1.6689300537109375e-05,106.0,-4.0,-103.0,110.0,X3,X2
13.375,-128.0,6.0,-109.0,-134.0,X2,X1
1.3828277587890625e-05,108.0,-4.0,-70.0,112.0,X2,X2
3.123283386230469e-05,100.0,-4.0,-74.0,104.0,X1,X2
0.000606536865234375,72.0,-2.0,-37.0,74.0,X2,X2
0.00010251998901367188,88.0,-4.0,-24.0,92.0,X1,X2
0.000148773193359375,86.0,-2.0,-8.0,88.0,X1,X2
0.59765625,4.0,2.0,29.0,2.0,X1,X2
3.7670135498046875e-05,98.0,-4.0,-45.0,102.0,X1,X2
2.4318695068359375e-05,106.0,0.0,-109.0,106.0,X1,X2
3.123283386230469e-05,100.0,-4.0,-66.0,104.0,X2,X2
4.5299530029296875e-05,98.0,-2.0,-72.0,100.0,X1,X2
6.628036499023438e-05,92.0,-4.0,-76.0,96.0,X2,X2
0.00811767578125,48.0,0.0,-12.0,48.0,X2,X2
2.3125,-24.0,-2.0,-17.0,-22.0,X2,X1
10.8125,-102.0,6.0,-60.0,-108.0,X2,X1
7.0,-68.0,2.0,-69.0,-70.0,X2,X3
9.8125,-92.0,6.0,-49.0,-98.0,X2,X1
3.7670135498046875e-05,98.0,-4.0,-35.0,102.0,X2,X2
3.7670135498046875e-05,100.0,-2.0,-7.0,102.0,X2,X2
0.00012302398681640625,88.0,-2.0,-45.0,90.0,X2,X2
8.487701416015625e-05,92.0,-2.0,-3.0,94.0,X2,X2
0.69140625,0.0,0.0,-52.0,0.0,X2,X2
0.039794921875,30.0,-2.0,12.0,32.0,X1,X2
0.51171875,-2.0,-6.0,-8.0,4.0,X3,X2
0.00075531005859375,66.0,-6.0,-32.0,72.0,X2,X2
5.1875,-50.0,2.0,-16.0,-52.0,X2,X1
6.8125,-64.0,4.0,-50.0,-68.0,X2,X1
0.0005035400390625,74.0,-2.0,-24.0,76.0,X2,X2
0.0067138671875,44.0,-6.0,-41.0,50.0,X1,X2
0.048583984375,26.0,-4.0,-39.0,30.0,X2,X2
0.00075531005859375,68.0,-4.0,-44.0,72.0,X2,X2
0.69140625,0.0,0.0,-98.0,0.0,X2,X2
0.000179290771484375,80.0,-6.0,-65.0,86.0,X2,X2
0.00012302398681640625,86.0,-4.0,-73.0,90.0,X1,X2
8.487701416015625e-05,88.0,-6.0,-83.0,94.0,X2,X2
0.00040435791015625,72.0,-6.0,-97.0,78.0,X2,X2
2.014636993408203e-05,104.0,-4.0,-98.0,108.0,X1,X2
3.293156623840332e-06,124.0,-2.0,-95.0,126.0,X2,X2
1.3828277587890625e-05,110.0,-2.0,-94.0,112.0,X2,X2
0.69140625,0.0,0.0,-160.0,0.0,X2,X2
2.2649765014648438e-06,126.0,-4.0,-97.0,130.0,X1,X2
2.726912498474121e-06,126.0,-2.0,-102.0,128.0,X2,X2
6.139278411865234e-06,114.0,-6.0,-120.0,120.0,X2,X2
0.00136566162109375,64.0,-2.0,-153.0,66.0,X4,X2
0.059326171875,26.0,-2.0,-136.0,28.0,X1,X2
2.014636993408203e-05,102.0,-6.0,-128.0,108.0,X1,X2
5.8125,-56.0,2.0,-109.0,-58.0,X2,X1
8.940696716308594e-06,112.0,-4.0,-92.0,116.0,X2,X2
1.2069940567016602e-06,132.0,-4.0,-110.0,136.0,X2,X2
11.1875,-108.0,4.0,-84.0,-112.0,X2,X1
2.014636993408203e-05,104.0,-4.0,-112.0,108.0,X2,X2
0.69140625,0.0,0.0,-166.0,0.0,X2,X2
5.4836273193359375e-05,96.0,-2.0,-121.0,98.0,X4,X2
6.139278411865234e-06,118.0,-2.0,-112.0,120.0,X2,X2
5.0961971282958984e-06,118.0,-4.0,-85.0,122.0,X2,X2
0.0067138671875,48.0,-2.0,-135.0,50.0,X1,X2
7.420778274536133e-06,114.0,-4.0,-109.0,118.0,X2,X2
0.0010986328125,66.0,-2.0,-122.0,68.0,X1,X2
9.625,-92.0,4.0,-102.0,-96.0,X2,X1
8.0,-74.0,6.0,-56.0,-80.0,X2,X1
0.00075531005859375,66.0,-6.0,-16.0,72.0,X2,X2
0.01214599609375,38.0,-6.0,-12.0,44.0,X2,X2
0.0010986328125,64.0,-4.0,-38.0,68.0,X2,X2
0.00164794921875,60.0,-4.0,-42.0,64.0,X2,X2
0.000335693359375,74.0,-6.0,-56.0,80.0,X2,X2
0.69140625,0.0,0.0,-112.0,0.0,X2,X2
3.7670135498046875e-05,96.0,-6.0,-75.0,102.0,X1,X2
1.3828277587890625e-05,110.0,-2.0,-70.0,112.0,X2,X2
2.4318695068359375e-05,104.0,-2.0,-87.0,106.0,X2,X2
2.4318695068359375e-05,100.0,-6.0,-63.0,106.0,X1,X2
11.0,-106.0,4.0,-79.0,-110.0,X2,X1
0.0037078857421875,52.0,-4.0,-82.0,56.0,X1,X2
2.014636993408203e-05,104.0,-4.0,-80.0,108.0,X2,X2
0.000179290771484375,82.0,-4.0,-99.0,86.0,X2,X2
10.0,-94.0,6.0,-50.0,-100.0,X2,X1
0.69140625,0.0,0.0,-106.0,0.0,X2,X2
6.628036499023438e-05,94.0,-2.0,-92.0,96.0,X1,X2
0.000911712646484375,66.0,-4.0,-53.0,70.0,X2,X2
0.00010251998901367188,88.0,-4.0,-82.0,92.0,X2,X2
3.7670135498046875e-05,98.0,-4.0,-67.0,102.0,X1,X2
0.000179290771484375,82.0,-4.0,-71.0,86.0,X2,X2
0.00010251998901367188,86.0,-6.0,-56.0,92.0,X1,X2
6.8125,-66.0,2.0,-86.0,-68.0,X2,X1
0.000148773193359375,84.0,-4.0,-66.0,88.0,X2,X2
4.5299530029296875e-05,96.0,-4.0,-44.0,100.0,X2,X2
8.487701416015625e-05,90.0,-4.0,-33.0,94.0,X2,X2
8.487701416015625e-05,88.0,-6.0,-61.0,94.0,X1,X2
0.00012302398681640625,84.0,-6.0,-27.0,90.0,X2,X2
0.000148773193359375,84.0,-4.0,-70.0,88.0,X4,X2
4.5299530029296875e-05,96.0,-4.0,-32.0,100.0,X2,X2
4.5299530029296875e-05,96.0,-4.0,-32.0,100.0,X2,X2
0.0002307891845703125,80.0,-4.0,-80.0,84.0,X2,X2
0.69140625,0.0,0.0,-114.0,0.0,X2,X2
2.014636993408203e-05,102.0,-6.0,-66.0,108.0,X1,X2
