seed,alpha,gamma,episodes,total_loss,info_gain_fraction,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5
42,0.01,0.01,100,2.1103081526234746,0.9906116868701039,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.01,0.01,100,2.1192538645118475,0.9906509459528015,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.01,0.01,100,2.172593737952411,0.9908783831433009,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.01,0.05,100,2.1103081526234746,0.9723541562853775,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.01,0.05,100,2.1192538645118475,0.9724676408852259,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.01,0.05,100,2.172593737952411,0.9731254285183888,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.01,0.1,100,2.1103081526234746,0.9504573273443931,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.01,0.1,100,2.1192538645118475,0.950656135781069,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.01,0.1,100,2.172593737952411,0.9518092080202258,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.01,0.2,100,2.1103081526234746,0.909494779922847,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.01,0.2,100,2.1192538645118475,0.909842373474387,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.01,0.2,100,2.172593737952411,0.9118607605422178,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.05,0.01,100,2.1103081526234746,0.9723541562853775,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.05,0.01,100,2.1192538645118475,0.9724676408852259,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.05,0.01,100,2.172593737952411,0.9731254285183888,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.05,0.05,100,2.1103081526234746,0.954757439644193,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.05,0.05,100,2.1192538645118475,0.9549398103573897,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.05,0.05,100,2.172593737952411,0.9559974146148538,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.05,0.1,100,2.1103081526234746,0.933637367176728,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.05,0.1,100,2.1192538645118475,0.9338989778332856,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.05,0.1,100,2.172593737952411,0.935417030732099,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.05,0.2,100,2.1103081526234746,0.8940816267053411,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.05,0.2,100,2.1192538645118475,0.894481548075259,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.05,0.2,100,2.172593737952411,0.8968048187017518,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.1,0.01,100,2.1103081526234746,0.9504573273443931,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.1,0.01,100,2.1192538645118475,0.950656135781069,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.1,0.01,100,2.172593737952411,0.9518092080202258,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.1,0.05,100,2.1103081526234746,0.933637367176728,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.1,0.05,100,2.1192538645118475,0.9338989778332856,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.1,0.05,100,2.172593737952411,0.935417030732099,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.1,0.1,100,2.1103081526234746,0.9134314616113484,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.1,0.1,100,2.1192538645118475,0.9137653695180559,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.1,0.1,100,2.172593737952411,0.915704068167775,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.1,0.2,100,2.1103081526234746,0.8755345868645599,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.1,0.2,100,2.1192538645118475,0.8759948245197766,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.1,0.2,100,2.172593737952411,0.878669918395719,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.2,0.01,100,2.1103081526234746,0.909494779922847,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.2,0.01,100,2.1192538645118475,0.909842373474387,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.2,0.01,100,2.172593737952411,0.9118607605422178,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.2,0.05,100,2.1103081526234746,0.8940816267053411,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.2,0.05,100,2.1192538645118475,0.894481548075259,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.2,0.05,100,2.172593737952411,0.8968048187017518,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.2,0.1,100,2.1103081526234746,0.8755345868645599,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.2,0.1,100,2.1192538645118475,0.8759948245197766,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.2,0.1,100,2.172593737952411,0.878669918395719,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
42,0.2,0.2,100,2.1103081526234746,0.8406570127328917,1.054384708404541,0.009777125902473927,0.04360850527882576,0.9910306334495544,0.011507179588079453
123,0.2,0.2,100,2.1192538645118475,0.8412228296501958,1.0632137060165405,0.010654493235051632,0.046728458255529404,0.9880654215812683,0.010591785423457623
456,0.2,0.2,100,2.172593737952411,0.8445148979028574,1.1438357830047607,0.008439755067229271,0.014199803583323956,0.9964104890823364,0.00970790721476078
